X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
ST-2,PK-CAP,1,-M,VOLCANO,Jacek Karluk,Race3R - ACDC,488w @6.20wkg,06:07.684,50
ST-2,PK-CAP,2,-M,VOLCANO,Adil Tabalong,ZIRT - ZIRT Uno,388w @6.70wkg,06:07.698,46
ST-2,PK-CAP,3,-M,VOLCANO,Brett boniface,OMG - OMG avec WEZ,369w @5.90wkg,06:12.615,43
ST-2,PK-CAP,4,-M,VOLCANO,Nico Peller,KIRCHMAIR - KIRCHMAIR - LETOUR,376w @5.60wkg,06:14.087,41
ST-2,PK-CAP,5,-M,VOLCANO,Rinus Verhelle,RELENTLESS - Taipan,347w @5.60wkg,06:14.218,40
ST-2,PK-CAP,6,-M,VOLCANO,Daniel Mundell,BL13 - BL13 - LETOUR,351w @5.60wkg,06:14.923,39
ST-2,PK-CAP,7,-M,VOLCANO,Maciek m,ZTPL - ZTPL - LETOUR,436w @5.60wkg,06:15.066,38
ST-2,PK-CAP,8,-M,VOLCANO,Meyckeens Sébastien,FFZ - FFZ Spartiate,345w @5.70wkg,06:15.203,37
ST-2,PK-CAP,9,-M,VOLCANO,Adam Vogt,OTR - Snowflakes,396w @5.90wkg,06:15.224,36
ST-2,PK-CAP,10,-M,VOLCANO,Christian Grupp,TALENTF - TALENTF - LETOUR,440w @5.20wkg,06:15.520,35
ST-2,PK-CAP,11,-M,VOLCANO,Diogo Calçada,FRR - Spectre,393w @5.80wkg,06:16.528,33
ST-2,PK-CAP,12,-M,VOLCANO,Mark Elding,BL13 - BL13 - LETOUR,387w @5.40wkg,06:16.748,33
ST-2,PK-CAP,13,-M,VOLCANO,Steve Shipman,Race3R - ACDC,451w @5.80wkg,06:16.922,33
ST-2,PK-CAP,14,-M,VOLCANO,Teppo Laurio,WLECOL - WLECOL - LETOUR,353w @5.40wkg,06:17.053,33
ST-2,PK-CAP,15,-M,VOLCANO,Ben Russell,WLECOL - WLECOL - LETOUR,357w @5.70wkg,06:17.233,33
ST-2,PK-CAP,16,-M,VOLCANO,Adrien,FFZ - FFZ Spartiate,340w @6.00wkg,06:17.593,33
ST-2,PK-CAP,17,-M,VOLCANO,Michel Pinto machado,FRR - Spectre,430w @5.80wkg,06:19.531,33
ST-2,PK-CAP,18,-M,VOLCANO,Sammy Knockaert,FRR - Spectre,394w @5.30wkg,06:19.543,33
ST-2,PK-CAP,19,-M,VOLCANO,Arne,COALITION - Beta,381w @5.50wkg,06:20.078,33
ST-2,PK-CAP,20,-M,VOLCANO,Martin Goikoetxea Conde,TT1 - TT1 - LETOUR,356w @5.20wkg,06:21.075,33
ST-2,PK-CAP,21,-M,VOLCANO,Stefan Kirchmair,KIRCHMAIR - KIRCHMAIR - LETOUR,366w @5.60wkg,06:21.665,31
ST-2,PK-CAP,22,-M,VOLCANO,Charles Asselin,OPT - Velo Optimum,387w @5.20wkg,06:21.958,31
ST-2,PK-CAP,23,-M,VOLCANO,Cedric RICHARD,HEX - HEX - LETOUR,366w @5.40wkg,06:22.243,31
ST-2,PK-CAP,24,-M,VOLCANO,e Harris,TFC - TFC Harriers,435w @5.40wkg,06:22.342,31
ST-2,PK-CAP,25,-M,VOLCANO,Kalle Kadens,FRR - Spectre,334w @5.90wkg,06:22.452,31
ST-2,PK-CAP,26,-M,VOLCANO,Michael Gamst,BL13 - BL13 - LETOUR,330w @5.20wkg,06:22.614,31
ST-2,PK-CAP,27,-M,VOLCANO,CLAMOTE,FRR - Spectre,390w @5.30wkg,06:22.673,31
ST-2,PK-CAP,28,-M,VOLCANO,J. Carton CLS. CAP,TEAMCLS - Vitesse verte,318w @5.40wkg,06:22.711,31
ST-2,PK-CAP,29,-M,VOLCANO,Patrick Orrick,OMG - OMG avec WEZ,332w @5.20wkg,06:22.786,31
ST-2,PK-CAP,30,-M,VOLCANO,Duncan Johnson,OTR - Octopi,360w @5.10wkg,06:23.260,31
ST-2,PK-CAP,31,-M,VOLCANO,Arend Cocquyt,BAKPDL - BP1,348w @5.20wkg,06:23.539,29
ST-2,PK-CAP,32,-M,VOLCANO,Gonzague PETIT,FFZ - FFZ Spartiate,354w @5.20wkg,06:23.740,29
