X1,X2,X3,X4,X5,X6,X7,X8
GC,GC-CAP,1,-M,Stefan Kirchmair,KIRCHMAIR - KIRCHMAIR - LETOUR,8,07:42:57.659
GC,GC-CAP,2,-M,Rinus Verhelle,RELENTLESS - Taipan,8,07:45:01.676
GC,GC-CAP,3,-M,Nathan Miller,RELENTLESS - Taipan,8,07:46:05.145
GC,GC-CAP,4,-M,Arne,COALITION - Beta,8,07:46:27.805
GC,GC-CAP,5,-M,Ben Russell,WLECOL - WLECOL - LETOUR,8,07:48:04.246
GC,GC-CAP,6,-M,Alex Lemp,TALENTF - TALENTF - LETOUR,8,07:48:20.014
GC,GC-CAP,7,-M,Brian Bishop,OTR - Crazy8s,8,07:48:55.146
GC,GC-CAP,8,-M,Travis Gatesman,RELENTLESS - Taipan,8,07:49:23.700
GC,GC-CAP,9,-M,Mathias Kemnitz,FRR - Spectre,8,07:51:31.353
GC,GC-CAP,10,-M,James Skulczuk,BURRITO - BURRITO - LETOUR,8,07:51:49.246
GC,GC-CAP,11,-M,Kalle Kadens,FRR - Spectre,8,07:52:31.986
GC,GC-CAP,12,-M,Matthew spooner,BL13 - BL13 - LETOUR,8,07:53:42.572
GC,GC-CAP,13,-M,Petar Dashev [CAP],FRR - Spectre,8,07:54:46.053
GC,GC-CAP,14,-M,Mark Talbot,COALITION - Le Tour,8,07:54:46.611
GC,GC-CAP,15,-M,a.lex,TALENTF - TALENTF - LETOUR,8,07:55:20.930
GC,GC-CAP,16,-M,J. Carton CLS. CAP,TEAMCLS - Vitesse verte,8,07:55:40.561
GC,GC-CAP,17,-M,Mark Elding,BL13 - BL13 - LETOUR,8,07:56:11.712
GC,GC-CAP,18,-M,Thomas Davison,EVOLUTION - Warriors,8,07:56:23.582
GC,GC-CAP,19,-M,Adam Vogt,OTR - Snowflakes,8,07:56:43.509
GC,GC-CAP,20,-M,Maxime Bernard,FFZ - FFZ Spartiate,8,07:57:25.460
GC,GC-CAP,21,-M,Arend Cocquyt,BAKPDL - BP1,8,07:57:36.978
GC,GC-CAP,22,-M,Daniel Mundell,BL13 - BL13 - LETOUR,8,07:57:56.841
GC,GC-CAP,23,-M,Diogo Calçada,FRR - Spectre,8,07:57:57.271
GC,GC-CAP,24,-M,Nico Peller,KIRCHMAIR - KIRCHMAIR - LETOUR,8,07:58:21.108
GC,GC-CAP,25,-M,Tim Shields,ABR - ABR Bloobo webdesign,8,07:58:37.033
GC,GC-CAP,26,-M,Andrew Dinsmore,TFC - TFC Harriers,8,07:59:06.936
GC,GC-CAP,27,-M,Gustav Lindqvist,FRR - Spectre,8,07:59:56.964
GC,GC-CAP,28,-M,Michel Pinto machado,FRR - Spectre,8,08:00:04.860
GC,GC-CAP,29,-M,Kjell Gunnar Gjerdal,EVOLUTION - Warriors,8,08:00:06.703
GC,GC-CAP,30,-M,Cedric RICHARD,HEX - HEX - LETOUR,8,08:00:52.432
GC,GC-CAP,31,-M,Unknow Fellow,FRR - Spectre,8,08:02:14.503
GC,GC-CAP,32,-M,CLAMOTE,FRR - Spectre,8,08:03:10.376
GC,GC-CAP,33,-M,Charles-Olivier Laporte,OPT - Velo Optimum,8,08:03:11.218
GC,GC-CAP,34,-M,H. Çelebi,FRR - Spectre,8,08:03:14.983
GC,GC-CAP,35,-M,Tobias van Toledo,EVOLUTION - Warriors,8,08:04:04.733
GC,GC-CAP,36,-M,Paul Kearney,TEAMCLS - Vitesse verte,8,08:05:53.131
GC,GC-CAP,37,-M,Christian Grupp,TALENTF - TALENTF - LETOUR,8,08:06:40.425
GC,GC-CAP,38,-M,Joris Voorn,ZSUNR - ZSUNR - LETOUR,8,08:06:54.751
GC,GC-CAP,39,-M,Teppo Laurio,WLECOL - WLECOL - LETOUR,8,08:07:34.784
GC,GC-CAP,40,-M,Ben Soja,KIRCHMAIR - KIRCHMAIR - LETOUR,8,08:08:53.550
GC,GC-CAP,41,-M,Gonzague PETIT,FFZ - FFZ Spartiate,8,08:10:47.950
GC,GC-CAP,42,-M,Daniel Pinto,OMG - OMG avec WEZ,8,08:11:40.217
GC,GC-CAP,43,-M,Karl Norris,ABR - ABR Bloobo webdesign,8,08:12:32.594
GC,GC-CAP,44,-M,Dom clarke,BURRITO - BURRITO - LETOUR,8,08:13:39.581
GC,GC-CAP,45,-M,Nate Silva,COALITION - Beta,8,08:14:46.798
GC,GC-CAP,46,-M,e Harris,TFC - TFC Harriers,8,08:15:56.816
GC,GC-CAP,47,-M,Peter Mogg,OMG - OMG avec WEZ,8,08:19:41.239
GC,GC-CAP,48,-M,Michael Greiner,OMG - OMG avec WEZ,8,08:20:04.023
GC,GC-CAP,49,-M,Ben clarke,OTR - Crazy8s,8,08:20:16.642
GC,GC-CAP,50,-M,Jared Benney (ABR),ABR - ABR Bloobo webdesign,8,08:22:21.150
GC,GC-CAP,51,-M,David Cheam,EVOLUTION - Warriors,8,08:23:23.895
GC,GC-CAP,52,-M,Andrew Perkins,LVLESPORT - LEVEL Men,8,08:31:56.639
GC,GC-CAP,53,-M,Hannes Hamberger,VEGAN - VEGAN - LETOUR,8,08:32:51.432
GC,GC-CAP,54,-M,Michel Rivard,5W4T - 5W4T,8,08:36:11.596
GC,GC-CAP,55,-M,James Bowtell,CRCAF - CRCAF - LETOUR,8,08:36:14.332
GC,GC-CAP,56,-M,Bastian von Hayn,TALENTF - TALENTF - LETOUR,8,08:52:42.287
GC,GC-CAP,57,-M,Andrew Nicholl,DIRT - DIRT - LETOUR,8,09:01:43.442
GC,GC-CAP,58,-M,Kelsey smith,RELENTLESS - Taipan,8,09:27:50.012
GC,GC-CAP,59,-M,Thomas Wagner,FRR - Spectre,7,07:56:54.012
GC,GC-CAP,60,-M,Charles-Antoine Messier,5W4T - 5W4T,7,07:04:54.888
GC,GC-CAP,61,-M,Michael Gamst,BL13 - BL13 - LETOUR,7,06:43:26.685
GC,GC-CAP,62,-M,Patrick Schaefer,OTR - Snowflakes,7,06:58:42.718
GC,GC-CAP,63,-M,Rusty Davis,FRR - Spectre,7,06:40:41.142
GC,GC-CAP,64,-M,Ritter Moritz,SWM - SWM - LETOUR,7,07:08:21.983
GC,GC-CAP,65,-M,Philipp Diethelm,RELENTLESS - Taipan,7,07:19:29.668
GC,GC-CAP,66,-M,Duncan Johnson,OTR - Octopi,7,07:22:10.355
GC,GC-CAP,67,-M,Bart Van der Linden,OMG - OMG avec WEZ,7,07:24:44.283
GC,GC-CAP,68,-M,Francis Cayouette,5W4T - 5W4T,7,07:31:34.786
GC,GC-CAP,69,-M,Alex Banville,COALITION - Beta,7,07:34:52.146
GC,GC-CAP,70,-M,Hugues Joannis,5W4T - 5W4T,7,07:38:21.409
GC,GC-CAP,71,-M,Richard Watson,ABR - ABR Bloobo webdesign,7,07:57:10.112
GC,GC-CAP,72,-M,Jan Steinmann,WLECOL - WLECOL - LETOUR,5,04:39:51.908
GC,GC-CAP,73,-M,Bastin Maxime,FFZ - FFZ Spartiate,6,05:45:23.531
GC,GC-CAP,74,-M,Yoann Deldossi,HEX - HEX - LETOUR,6,05:46:08.832
GC,GC-CAP,75,-M,JP Durand,5W4T - 5W4T,6,06:20:45.730
GC,GC-CAP,76,-M,Charles Asselin,OPT - Velo Optimum,6,05:09:10.664
GC,GC-CAP,77,-M,Nicolas Boucher,OPT - Velo Optimum,6,05:16:15.980
GC,GC-CAP,78,-M,thomas evans,TEAMCLS - Vitesse verte,6,06:19:16.198
GC,GC-CAP,79,-M,Adam Otstot,RELENTLESS - Taipan,6,06:39:56.538
GC,GC-CAP,80,-M,Henry Uys,ZSUNR - ZSUNR - LETOUR,6,05:55:45.042
GC,GC-CAP,81,-M,Schwaiger Christian,SWM - SWM - LETOUR,6,06:45:00.430
GC,GC-CAP,82,-M,Josh Harris,TBW - Watopia Tour,6,07:05:36.480
GC,GC-CAP,83,-M,Noah Balch,OTR - Octopi,3,03:27:31.124
GC,GC-CAP,84,-M,Greg Morgan,EVOLUTION - Warriors,6,05:09:29.235
GC,GC-CAP,85,-M,Jan Lammers,TALENTF - TALENTF - LETOUR,6,05:10:18.964
GC,GC-CAP,86,-M,Brett boniface,OMG - OMG avec WEZ,6,05:10:46.131
GC,GC-CAP,87,-M,Patrick Orrick,OMG - OMG avec WEZ,6,05:16:39.151
GC,GC-CAP,88,-M,Jonathan Blomqvist,eSRT - eSRT - LETOUR,4,05:26:07.247
GC,GC-CAP,89,-M,Siegfried Pfeifer,SWM - SWM - LETOUR,6,05:36:40.104
GC,GC-CAP,90,-M,Jude LaRene,OMG - OMG avec WEZ,6,05:48:48.007
GC,GC-CAP,91,-M,Thomas Vael,ZSUNR - ZSUNR - LETOUR,3,04:03:35.321
GC,GC-CAP,92,-M,Andrew Alderson,FRR - Spectre,4,04:09:17.400
GC,GC-CAP,93,-M,mickael plantureux,HEX - HEX - LETOUR,4,04:28:05.247
GC,GC-CAP,94,-M,Aaron Girdlestone,EVOLUTION - Warriors,5,05:13:11.936
GC,GC-CAP,95,-M,Mark Redfern,EVOLUTION - Le Tour,5,05:27:52.862
GC,GC-CAP,96,-M,David Henderson,OMG - OMG avec WEZ,5,05:13:53.252
GC,GC-CAP,97,-M,Mark Wise,ABR - ABR Bloobo webdesign,3,02:31:44.421
GC,GC-CAP,98,-M,Danies Camille,HEX - HEX - LETOUR,3,03:33:38.790
GC,GC-CAP,99,-M,Adrien,FFZ - FFZ Spartiate,5,04:16:42.464
GC,GC-CAP,100,-M,Peter McMullan,BURRITO - BURRITO - LETOUR,5,04:28:55.257
GC,GC-CAP,101,-M,Felix Gauthier,OPT - Velo Optimum,5,05:27:09.683
GC,GC-CAP,102,-M,Jon Werme,eSRT - eSRT - LETOUR,5,06:16:53.118
GC,GC-CAP,103,-M,Mattias Wahlbeck,eSRT - eSRT - LETOUR,3,02:58:14.697
GC,GC-CAP,104,-M,Luc Guilbeault,5W4T - 5W4T,4,03:06:52.356
GC,GC-CAP,105,-M,James E Furman,OTR - Snowflakes,4,04:25:21.075
GC,GC-CAP,106,-M,Marc Gates,TBW - Watopia Tour,3,04:44:56.324
GC,GC-CAP,107,-M,Zack Muetterties,BL13 - BL13 - LETOUR,5,05:02:19.531
GC,GC-CAP,108,-M,Mark de Bruijn,RELENTLESS - Taipan,4,02:47:08.349
GC,GC-CAP,109,-M,Paoloni,FFZ - FFZ Spartiate,4,02:47:38.292
GC,GC-CAP,110,-M,Walter Simon,SWM - SWM - LETOUR,4,02:52:33.699
GC,GC-CAP,111,-M,Samuel Le Dortz,BL13 - BL13 - LETOUR,4,04:50:02.512
GC,GC-CAP,112,-M,Rasmus Raben,ABR - ABR Bloobo webdesign,2,01:54:02.640
GC,GC-CAP,113,-M,Eric Wise,VELOS - VELOSiraptors,2,01:55:47.506
GC,GC-CAP,114,-M,Per Sam,TEAMCLS - Vitesse verte,2,03:02:27.951
GC,GC-CAP,115,-M,Kial Jackson,BURRITO - BURRITO - LETOUR,3,03:20:11.869
GC,GC-CAP,116,-M,Martin Goikoetxea Conde,TT1 - TT1 - LETOUR,3,04:18:36.662
GC,GC-CAP,117,-M,Christopher Pruitt,RELENTLESS - Taipan,2,01:42:47.171
GC,GC-CAP,118,-M,Dan Pedroza,OMG - OMG avec WEZ,2,01:47:23.085
GC,GC-CAP,119,-M,Pedro Borlido,FRR - Spectre,2,01:49:31.356
GC,GC-CAP,120,-M,Alex Rockwell,Race3R - ACDC,4,03:55:11.394
GC,GC-CAP,121,-M,Joey M,DIRT - DIRT - LETOUR,3,02:16:18.073
GC,GC-CAP,122,-M,Pierre Courtoy,CRYO-GEN - Lancelot,2,03:02:18.712
GC,GC-CAP,123,-M,Meyckeens Sébastien,FFZ - FFZ Spartiate,4,03:23:37.081
GC,GC-CAP,124,-M,Luke Marshall,COALITION - Le Tour,4,03:32:57.732
GC,GC-CAP,125,-M,Jono Martin,Race3R - ACDC,3,02:39:41.093
GC,GC-CAP,126,-M,Peeters Thierry,TEAMCLS - Vitesse verte,1,00:57:43.711
GC,GC-CAP,127,-M,Mathieu Dorion,FRR - Spectre,1,01:05:01.098
GC,GC-CAP,128,-M,Samuel Tremblay,OPT - Velo Optimum,3,02:23:11.296
GC,GC-CAP,129,-M,Strasser Matthias,SWM - SWM - LETOUR,2,00:39:49.857
GC,GC-CAP,130,-M,Pascal Höhn,TALENTF - TALENTF - LETOUR,1,02:00:12.979
GC,GC-CAP,131,-M,André Canuto,OMG - OMG avec WEZ,1,02:04:37.433
GC,GC-CAP,132,-M,Abdoullah Mitiche,EVOLUTION - Warriors,1,02:07:22.217
GC,GC-CAP,133,-M,Rui Oliveira,FRR - Spectre,2,02:13:43.928
GC,GC-CAP,134,-M,Michael Painter,COALITION - Beta,2,02:14:38.353
GC,GC-CAP,135,-M,Jerry Olsson,SZ - SZ LOKE,1,00:34:10.655
GC,GC-CAP,136,-M,Felipe Nystrom,OMG - OMG avec WEZ,1,00:34:43.473
GC,GC-CAP,137,-M,PESCE Julien,OMG - OMG avec WEZ,1,00:36:37.790
GC,GC-CAP,138,-M,SCHMITT,FRR - Spectre,1,00:37:29.945
GC,GC-CAP,139,-M,Sebastien DUCASSE,FFZ - FFZ Spartiate,3,02:28:12.155
GC,GC-CAP,140,-M,Travis Samuel,WLECOL - WLECOL - LETOUR,1,01:08:14.332
GC,GC-CAP,141,-M,Mason Rocca,SISU - SISU - LETOUR,1,01:08:14.929
GC,GC-CAP,142,-M,Nicolas Rousselange,TALENTF - TALENTF - LETOUR,1,01:08:15.338
