X1,X2,X3,X4,X5,X6,X7,X8
GC,GC-CAP,-M,Adil Tabalong,ZIRT - ZIRT Uno,1,451w @7.00wkg,00:04:52.529
GC,GC-CAP,-M,Nathan Miller,RELENTLESS - Taipan,1,618w @6.40wkg,00:04:52.721
GC,GC-CAP,-M,Stefan Kirchmair,KIRCHMAIR - KIRCHMAIR - LETOUR,1,496w @6.90wkg,00:04:53.418
GC,GC-CAP,-M,Mark Elding,BL13 - BL13 - LETOUR,1,508w @6.40wkg,00:04:54.352
GC,GC-CAP,-M,Adam Vogt,OTR - Snowflakes,1,487w @6.60wkg,00:04:55.218
GC,GC-CAP,-M,Bart Van der Linden,OMG - OMG avec WEZ,1,452w @6.40wkg,00:04:56.706
GC,GC-CAP,-M,Strasser Matthias,SWM - SWM - LETOUR,1,513w @6.70wkg,00:04:56.837
GC,GC-CAP,-M,H. Çelebi,FRR - Spectre,1,465w @6.50wkg,00:04:57.290
GC,GC-CAP,-M,Ben Russell,WLECOL - WLECOL - LETOUR,1,476w @6.90wkg,00:04:58.418
GC,GC-CAP,-M,Meyckeens Sébastien,FFZ - FFZ Spartiate,1,449w @6.80wkg,00:04:59.052
GC,GC-CAP,-M,Josh Harris,TBW - Watopia Tour,1,464w @6.60wkg,00:04:59.162
GC,GC-CAP,-M,Jared Benney (ABR),ABR - ABR Bloobo webdesign,1,574w @5.50wkg,00:05:00.601
GC,GC-CAP,-M,Alex Lemp,TALENTF - TALENTF - LETOUR,1,535w @5.90wkg,00:05:00.831
GC,GC-CAP,-M,Mark de Bruijn,RELENTLESS - Taipan,1,501w @6.10wkg,00:05:00.894
GC,GC-CAP,-M,James Skulczuk,BURRITO - BURRITO - LETOUR,1,581w @5.60wkg,00:05:02.314
GC,GC-CAP,-M,Daniel Mundell,BL13 - BL13 - LETOUR,1,435w @6.30wkg,00:05:02.771
GC,GC-CAP,-M,Travis Gatesman,RELENTLESS - Taipan,1,565w @5.80wkg,00:05:03.002
GC,GC-CAP,-M,Arne,COALITION - Beta,1,490w @6.40wkg,00:05:03.456
GC,GC-CAP,-M,Charles Asselin,OPT - Velo Optimum,1,493w @6.00wkg,00:05:03.848
GC,GC-CAP,-M,Brian Bishop,OTR - Crazy8s,1,493w @6.00wkg,00:05:04.059
GC,GC-CAP,-M,Maario Silm,VELOS - VELOSiraptors,1,519w @5.90wkg,00:05:04.443
GC,GC-CAP,-M,Walter Simon,SWM - SWM - LETOUR,1,463w @6.20wkg,00:05:05.052
GC,GC-CAP,-M,Francis Cayouette,5W4T - 5W4T,1,496w @5.80wkg,00:05:05.401
GC,GC-CAP,-M,Charles-Antoine Messier,5W4T - 5W4T,1,475w @5.90wkg,00:05:05.519
GC,GC-CAP,-M,Schwaiger Christian,SWM - SWM - LETOUR,1,477w @6.20wkg,00:05:05.629
GC,GC-CAP,-M,Michael Gamst,BL13 - BL13 - LETOUR,1,416w @5.90wkg,00:05:05.638
GC,GC-CAP,-M,a.lex,TALENTF - TALENTF - LETOUR,1,468w @5.90wkg,00:05:05.874
GC,GC-CAP,-M,Jacek Karluk,Race3R - ACDC,1,501w @5.80wkg,00:05:06.172
GC,GC-CAP,-M,Greg Morgan,EVOLUTION - Warriors,1,468w @6.00wkg,00:05:06.339
GC,GC-CAP,-M,Christian Grupp,TALENTF - TALENTF - LETOUR,1,516w @5.60wkg,00:05:06.464
GC,GC-CAP,-M,Mark Talbot,COALITION - Le Tour,1,471w @5.80wkg,00:05:06.823
GC,GC-CAP,-M,e Harris,TFC - TFC Harriers,1,499w @5.70wkg,00:05:06.967
GC,GC-CAP,-M,Nico Peller,KIRCHMAIR - KIRCHMAIR - LETOUR,1,448w @6.10wkg,00:05:07.964
GC,GC-CAP,-M,Matthew spooner,BL13 - BL13 - LETOUR,1,435w @5.80wkg,00:05:08.028
GC,GC-CAP,-M,Jan Lammers,TALENTF - TALENTF - LETOUR,1,457w @5.90wkg,00:05:08.298
GC,GC-CAP,-M,Tim Shields,ABR - ABR Bloobo webdesign,1,542w @5.30wkg,00:05:08.330
GC,GC-CAP,-M,Teppo Laurio,WLECOL - WLECOL - LETOUR,1,425w @5.90wkg,00:05:08.466
GC,GC-CAP,-M,Thomas Davison,EVOLUTION - Warriors,1,480w @5.90wkg,00:05:08.508
GC,GC-CAP,-M,Andrew Dinsmore,TFC - TFC Harriers,1,421w @5.80wkg,00:05:08.625
GC,GC-CAP,-M,Michael Greiner,OMG - OMG avec WEZ,1,524w @5.50wkg,00:05:09.290
GC,GC-CAP,-M,Bastian von Hayn,TALENTF - TALENTF - LETOUR,1,468w @5.90wkg,00:05:09.367
GC,GC-CAP,-M,Adrien,FFZ - FFZ Spartiate,1,383w @6.10wkg,00:05:09.392
GC,GC-CAP,-M,Ritter Moritz,SWM - SWM - LETOUR,1,462w @5.80wkg,00:05:09.465
GC,GC-CAP,-M,Karl Norris,ABR - ABR Bloobo webdesign,1,440w @6.00wkg,00:05:09.466
GC,GC-CAP,-M,Felix Gauthier,OPT - Velo Optimum,1,451w @5.80wkg,00:05:09.822
GC,GC-CAP,-M,Tobias van Toledo,EVOLUTION - Warriors,1,528w @5.50wkg,00:05:10.281
GC,GC-CAP,-M,Rinus Verhelle,RELENTLESS - Taipan,1,404w @5.90wkg,00:05:10.376
GC,GC-CAP,-M,Brett boniface,OMG - OMG avec WEZ,1,409w @6.00wkg,00:05:10.407
GC,GC-CAP,-M,Anthony Hepworth,OPT - Velo Optimum,1,480w @5.70wkg,00:05:10.479
GC,GC-CAP,-M,Petar Dashev [CAP],FRR - Spectre,1,422w @6.00wkg,00:05:10.660
GC,GC-CAP,-M,Michel Pinto machado,FRR - Spectre,1,459w @5.60wkg,00:05:11.025
GC,GC-CAP,-M,Henry Uys,ZSUNR - ZSUNR - LETOUR,1,464w @5.70wkg,00:05:11.081
GC,GC-CAP,-M,Diogo Calçada,FRR - Spectre,1,441w @5.90wkg,00:05:11.266
GC,GC-CAP,-M,Arend Cocquyt,BAKPDL - BP1,1,428w @5.80wkg,00:05:11.567
GC,GC-CAP,-M,CLAMOTE,FRR - Spectre,1,446w @5.50wkg,00:05:11.899
GC,GC-CAP,-M,Sebastien DUCASSE,FFZ - FFZ Spartiate,1,398w @5.70wkg,00:05:12.102
GC,GC-CAP,-M,Cedric RICHARD,HEX - HEX - LETOUR,1,435w @5.80wkg,00:05:12.123
GC,GC-CAP,-M,JP Durand,5W4T - 5W4T,1,454w @5.30wkg,00:05:12.664
